name	SRR6066071	SRR6066072	SRR6066073	SRR6066074	SRR6066075	SRR6066076	SRR6066077	SRR6066078	SRR6066079	SRR6066080	SRR6066081	SRR6066082	SRR6066083	SRR6066084	SRR6066085	SRR6066086	SRR6066087	SRR6066088	SRR6066089	SRR6066090	SRR6066091	SRR6066092	SRR6066093	SRR6066094	SRR6066095	SRR6066096	SRR6066097	SRR6066098	SRR6066099	SRR6066100	SRR6066101	SRR6066102	SRR6066103	SRR6066104	SRR6066105	SRR6066106	SRR6066107	SRR6066108	SRR6066109	SRR6066110	SRR6066111	SRR6066112	SRR6066113	SRR6066114	SRR6066115	SRR6066116	SRR6066117	SRR6066137	SRR6066138	SRR6066139	SRR6066141	SRR6066142	SRR6066143	SRR6066144	SRR6066145	SRR6066146	SRR6066147	SRR6066148	SRR6066149	SRR6066150	SRR6066151	SRR6066152	SRR6066153	SRR6066154	SRR6066155	SRR6066156	SRR6066157	SRR6066168	SRR6066169	SRR6066170	SRR6066171	SRR6066172	SRR6066173	SRR6066174	SRR6066175	SRR6066176	SRR6066177
Phocaeicola_plebeius	38.9828	2.47359	0	0.11849	22.41004	0	0	0	10.79284	0	0	0	17.20581	22.88566	0	0	2.54911	0	0	0	0.07794	0.23081	0.00238	20.4335	0	0	14.26377	0	0	0.02217	3.28784	0	0.59413	7.40665	30.0654	0	0	0	0	4.52928	0	10.49718	0	0	0	0	0.90161	0	0	4.54569	1.62373	0	22.16887	0	0	0	0	0	0	50.46208	26.12911	0	0.00151	36.95579	1.55674	4.81028	0	0.65748	7.04105	5.93223	0	0	0	3.44426	0	18.48277	0
Phocaeicola_coprocola	14.03613	1.00455	0	0.03543	15.11629	0	0	0	0	0	0	0	11.98816	8.38509	0	0	0.7558	0	0	0	0	0	0	3.351	4.92769	0	1.65341	0	0	0	0.13168	0	1.71319	0	0	0	0	0	0.05713	8.29013	0	2.1609	0	0	1.90485	0	0.49532	0	0	1.49394	5.561	0	7.01909	0	0	0	0	0	0	0	8.47988	0	3.89914	0	0.69917	0	4.31392	0.62592	4.86286	0	2.79817	7.34166	0	1.01689	12.37525	0	0
Phocaeicola_vulgatus	13.32802	0	26.23092	16.77328	8.03618	27.12726	31.93237	9.70719	4.7896	17.36036	0	0.00304	4.54587	2.91872	4.48452	12.17641	10.01433	8.81073	0	19.38668	12.24616	0.04958	6.84151	5.03192	2.10175	19.71009	0	19.70107	34.44492	12.97841	0.26057	0.07025	7.91437	0	24.34331	14.03228	5.26092	0	9.9978	4.30692	6.75548	0.0998	0	0	1.34229	0	0.25647	0	11.04472	11.93844	0.3839	8.2038	15.6907	6.26308	46.73997	12.53684	0.00635	0.34529	0	5.27682	2.15753	12.03227	3.83769	10.41108	0.89853	2.0848	3.40882	1.01318	0.91134	0.05274	6.11346	9.42605	3.8853	3.51049	5.49885	1.80342	25.47678
Bacteroides_caccae	3.89163	0.76229	0	1.76064	0.13821	0	1.29579	0	0.42109	0	0	0	0.27643	0	0	1.60201	0.47577	0.14851	1.13675	2.54127	0.42185	0	0.24316	0.06192	0.39685	0.39988	0.08219	0.59364	0.47515	0.42498	0.22762	0.01915	3.57452	0.49082	0.0456	2.42542	0.00477	4.28661	0	0.78063	0	0.21144	0	0	1.06047	0	0	1.61669	0.23708	0	0.27917	0.71107	0.13588	0.01376	0	1.6287	0	0	1.29773	0.02688	0.00634	1.35517	0.44277	0.19037	0.06725	0.11462	0	0.04457	0.01481	0.00744	0.01432	0.0295	0.37681	0.40694	1.95885	0.02921	0.75194
Parabacteroides_distasonis	2.32105	0	9.55628	2.69543	0.91634	0.00208	2.34484	0	0.17833	1.50799	1.06516	1.17549	1.22389	0.60364	0.23389	10.01268	4.06886	0.23708	2.15966	1.99402	0.35775	0.02602	0.40193	0.2227	0.24046	0.6686	0	0.26739	1.1411	0.37086	0.29622	12.99951	1.05141	0.11068	5.53213	0.65476	0.86524	3.56377	0.14532	0.73783	0.43967	4.46213	0	1.66028	0.24634	0	0.35091	3.22541	0.55487	2.23442	0.06667	7.34647	0.90141	0.63683	0	2.18998	0.9246	0.01908	0.73144	0.30706	0.19631	0.56395	0.23906	0.28274	0.08721	0.39823	0.10533	0.17308	0.25155	0.17545	0.06975	4.03794	0.9245	0.39032	0.6096	0.29396	0.68396
Phascolarctobacterium_faecium	2.30241	0.05389	0	2.66848	2.08855	0.21216	2.92351	0.83896	0.30723	2.48976	2.85004	1.67605	2.35768	0	3.32501	0.57102	3.26634	4.29614	3.44643	2.22196	0	0.06952	0	0.11908	0.61097	0.51913	0.66024	0.81079	2.4054	0	0.09491	0	0.72693	0	2.56423	1.4791	1.6744	0	0.01552	1.4106	0.00828	1.99138	0	1.63811	0	0	0	2.10182	1.60884	2.43183	0	0	0.95048	0.60903	0	0	0	0	0	1.31581	1.44679	0	0.09435	1.48642	0.0832	1.21373	0.83119	0.00421	0.76987	0.33705	0.26866	0.25544	1.11852	2.01936	0.62475	0.22346	2.88775
Clostridium_sp_AM22_11AC	2.21453	0.35661	0	2.97515	1.54882	0	0	0	0.1835	0.22976	2.14532	7.1848	0.32981	0.38248	1.69354	0	0.11496	0	0	0.77903	0.6785	0	1.01146	1.72018	0.11847	1.2794	0.0565	2.10691	0	0.66373	0.02588	0	0.06606	0.08673	0	0.44893	0	1.32053	0.07338	0.28338	0.36141	0.21333	0	0.56047	0.05405	0	0.77332	0	0.45398	3.23229	0.57198	0	0	0.29539	0	0	0	0.05194	0.29422	0.86065	0.2175	0.21524	0.08122	0.34502	0.16215	0.21253	0.46216	0.29814	0.35835	0.21405	1.28723	0.56031	0.00868	0.89958	0.62734	0.11131	2.3787
Escherichia_coli	2.04111	0.07453	2.35334	0	1.59213	0.20172	0.36595	0.58564	0.00355	0.13001	0.07625	0.21522	0.1943	1.56487	0.39096	6.03594	0.29095	0.01049	0.26787	0.27798	0.4889	0.06743	0.01702	0.05858	0.06749	0.18036	0.30585	2.02298	0.03173	0.47033	0.00678	0	0.88992	0.00701	6.7972	3.39434	0.61477	0.01018	2.83661	0.10513	0.04732	2.98131	0.30477	0.07963	0.1367	0	0	2.12003	0.88792	0.04763	0	6.42287	1.3959	5.04566	8.20574	0.02382	0	0.18186	1.54735	0.16419	9.05986	0.14849	0.47276	0.1927	4.02281	0.20199	0.66065	2.04368	0	0.10559	1.28672	1.17667	0.44096	0.07496	0.21137	5.17154	9.89217
Bacteroides_xylanisolvens	1.94474	0.05755	0	3.21755	0	0	1.2278	0.36155	0.79405	3.78129	1.27206	0	0.03123	0.31329	0.15089	9.26629	0.30143	0	0.80134	1.6637	0.11547	0.10896	1.3395	0.02242	0.06847	0	0	0.07675	0.53047	0.05175	0.06838	1.46409	0.20104	0.19164	0.48924	0	2.40517	0	0	0.18149	0.20432	0	0	0.46976	0.13219	0	0	0.12127	0.13995	0	0	0	0	1.69179	18.17844	0.04198	45.27742	0.03555	0.19329	0.03492	0.82234	0.25172	0	2.1618	0.06138	0.46512	0	0.1185	0.22444	0.01747	0.04537	0.19921	0.33533	0.48215	0.09173	0.02281	0.11948
Ruminococcus_torques	1.80009	0.18563	0	2.8431	1.19251	0.38415	2.65881	0	0.39354	1.07345	0	0.01372	0.1035	0.07965	0.18952	0	0.85484	0.04998	0.08254	1.25833	0.45023	0.02463	0.03485	3.92704	0.19216	0.24977	0	0.31382	2.47549	0.46368	0.1589	0.02172	0.25562	1.5622	0	0.77897	2.07321	0.05173	0	0.447	0.12395	0.03177	0	0.04718	0.9062	0	0	0	0.09404	0.34296	0.25142	0.0274	0.00381	0.00117	0	1.57593	0	0.17047	0.23885	1.39825	0.66397	0.43288	0.69155	0.4493	0.12528	0.64974	0.08804	0.00822	0.3672	0.27316	0.28753	1.29762	0.11379	0.08232	0.55024	0.7846	0.14528
