name	A1	A10	A11	A14	A20	A22	A23	A24	A25	A26	A27	A29	A30	A31	A34	A35	A36	A38	A4	A41	A47	A51	A54	A55	A58	A60	A61	A62	A66	A68	A69	A71	A76	A78	A80	DP1	DP13	DP18	DP2	DP24	DP26	DP27	DP28	DP3	DP33	DP34	DP35	DP36	DP40	DP41	DP43	DP44	DP45	DP46	DP47	DP49	DP52	DP55	DP57	DP60	DP64	DP65	DP67	DP69	DP72	DP73	DP75	DP77	DP8	DP9
Phocaeicola_vulgatus	19.979842	0.030887	4.216773	0.55918	3.761319	0	6.91845	0.420913	12.747841	0.947629	2.585823	1.96937	20.990433	20.894339	1.10296	11.973424	14.92502	5.534426	0.308017	0.388929	1.469617	1.204209	0.042526	6.701838	0.982534	0.225869	18.641325	42.463403	9.594508	5.167701	6.463461	0	21.158322	0.00866	0	0	0	14.412474	0	0.358079	0.009197	0	0	58.543445	1.259019	14.371698	0	0.509477	0	0	56.965697	0	1.229437	70.065523	37.104873	0	9.740862	0	7.845534	0.02022	45.376273	7.362997	0	0	0	0	0.194603	16.932381	2.573958	0
Lachnospira_pectinoschiza	9.490325	1.879319	0.012313	0	0.008123	0	1.259791	0.108329	0	0.005531	0	0.781265	0	3.016441	2.108753	4.26936	1.822844	0.487563	0	0.48343	1.680249	0	0	0.034445	0.017293	0.433901	0	0	0	0	0.294486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_OF27_8pH9A	8.550763	0	0.29592	0	0	0	0	0	0	0.384302	0	0.134496	0.088948	0	1.002275	0	0	0	0	0	0	0	0.41596	0	0	0	0	0	0	0	0	5.43311	15.706648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.063497	0	0
Phocaeicola_dorei	7.586122	0	0.272767	0	0	3.707144	0	0	0	0	0	0	0	0.206463	6.094117	0	0	0	0	0.242623	0	0	1.170658	14.171158	0	0	0	0	0	0	0	17.279251	0	0	0	0	0	0	0	0	0	0	0	0	2.025631	0	0	17.15981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.586114	0.008212	18.715558	0.122744	0	0	0.497364	0
Lachnospira_eligens	6.449982	1.739008	0	0.076546	0.102944	0.344505	3.275577	0	9.766461	4.631982	0.694554	0.019802	0	0	0.020643	0	1.088526	0	2.958571	0.161138	0.061466	1.23789	0.130706	4.584978	0.560455	0.656101	0.160737	0	0.275127	0.127382	0.427799	1.150734	11.076362	0.021817	0	0	0	1.650243	0	0	0	0	0	0	0.056345	0	0	0	0	0	0	0	0	0	0	0	0	0	1.328976	0	0	0	0	0	0	0	0	0	0	0
Faecalibacterium_prausnitzii	4.013852	0	14.181354	1.139701	1.291737	23.066638	4.477159	15.043924	4.181266	1.627024	0.724592	0.499794	0	4.936382	1.96961	1.494325	2.428076	2.40687	14.474613	16.373991	1.882515	0.310122	5.00386	0	1.018269	3.08736	7.662531	5.043273	5.68865	14.338784	3.074454	1.329116	6.863081	1.253566	1.127537	0	0	1.522418	0	0	0.007699	0	0	0	2.705188	1.800109	0	0.160146	0	0	3.294853	0	2.007109	0.244271	1.497048	0	0.14651	0	0	0	0	4.287553	0	0	0	0	0.100693	3.264914	16.545463	0
Sutterella_sp_AM11_39	3.471072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.170283	0	0.011023	0	0	0	0.535607	0	0	0.340043	0	0	0	0	0	0	0	0
Bacteroides_fragilis	3.364504	16.664232	0	0	0.050314	1.707736	0	0.000579	4.045444	0	0.263675	0	3.055803	3.094868	0	0.425482	1.773424	0.000972	0	0	0.512277	0.151994	0.45344	1.544929	0.080787	0.044115	0	5.562168	1.794209	0.004602	2.242736	0	2.321616	0	2.885462	0	0	0.890695	0	0	0	0	0	0	0.964628	0	0	10.403445	0	0	0	0	0.083841	0	1.93787	0	2.620018	0	0.035017	0	0	0	0.194121	0.039881	0	0	0.076445	2.230119	0	0
Agathobaculum_butyriciproducens	2.589699	0	0.507672	0.114582	0.412253	0.142967	0.244489	1.130371	0.136334	0.111439	0.056271	0.15287	0.089599	0.05096	0.989017	0.193005	0.252068	0.07772	0.908382	1.141157	0.161733	1.05554	2.103917	0.323846	0.446036	0.042554	0.036416	0	0	1.636701	0.219613	0.02666	0.169617	0.921124	1.299401	0	0	0.273477	0	0	0	0	0	0	0.013645	1.692712	0	0	0	0	0	0	0.083485	0.26383	0	0	0.038375	0	0.009033	0	0	0.035913	0.020665	0.075319	0	0	0	0	1.170074	0
Anaerostipes_hadrus	2.075523	0.282734	0.28912	0.204496	0.439481	0	0.29677	0.651954	0.49608	0.163939	0.642232	0.016103	0	0.697062	0.08819	1.807645	0	0.085391	0.881419	0.058428	0.432036	0.337608	2.796086	1.650259	0.010595	0.898014	0.005804	1.947863	1.314401	0.381132	1.418502	0.260278	1.941912	0.12533	0.670955	0	0	0	0	0	0	0	0	0	0.749176	0	0	0	0	0	0	0	0.122245	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0.192577	3.455105	0
Clostridium_SGB6179	1.851805	0	0	0	0	0.034826	0	0.030485	0	0	0	0	0	0	0	0	0.136578	0	0.058838	0	0	0	0.528933	0	0	0	0	0	0	0	0.263306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_uniformis	1.621977	0	0.527362	8.86725	1.254288	1.596368	0.078061	0.978892	0.331041	2.313391	0.214875	0.103614	8.060143	0	7.561402	4.731285	6.97391	0.212381	0.322667	0.298916	0.125725	6.837362	0.391105	2.784859	0.725705	2.489888	3.572848	2.513783	1.74699	1.512452	4.063287	9.068019	0.854149	0	0.37097	0	0	1.920477	0	0.013783	0	0	0	0	4.117205	0	0	0.813229	0	0	0.091687	0	8.835211	0	0	0	5.203058	0	0.874624	0	14.758569	4.834831	4.347603	0	0	0	0.079415	2.174411	4.135779	0
Mediterraneibacter_gnavus	1.61537	0.410737	0	0	0.013948	0	0	0.143912	0	0	0	0	0.167508	0.077758	0	2.303843	0.24885	0.061701	0	0	0.193408	0.778916	1.291595	4.18082	0	0	0	1.881927	0.467069	1.077602	0.001075	0.175912	0.012272	0.921235	0.096262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063591	0	1.516774	0	0	0	1.868826	0	0.203118	0.001894	5.804002	0.525542	0	0
Eubacterium_ramulus	1.593275	0	0.077513	0.099686	0.041353	0.133588	0	1.362646	0.035806	0.061237	0.149647	0.019738	0	0.02602	0.014713	0.564219	0	0.017134	0.246182	0.289867	0.087764	0.375522	1.18613	0	0.135164	0.048082	0.046405	0	0.227482	0	0.186393	0.040088	0.221544	1.413929	0	0	0	0.046735	0	0	0	0	0	0	0.357019	0	0	0	0	0	0	0	0.091926	0	0.153271	0	0.020544	0	0	0	0	0	0	0	0	0	0	0	0.289663	0
Romboutsia_timonensis	1.392435	0	0	0.09529	0	0.045981	0	0.014856	0.003329	0.006406	0.00176	0.010893	0	0	0	0.047335	0.444228	0.004062	0.12917	0	0.041636	0	1.067876	0.674763	0.006141	0.007273	0	0.194174	0	0.012536	0.086341	0.010658	0	0.004239	0.065137	0	0	0	0	0	0	0	0	0	0.036414	0	0	0	0	0	0.388577	0	0	0	0	0	0	0	0	0	0	0	0	0.015867	0	0	0	0.007592	0	0
Ruminococcus_lactaris	1.103941	0	0	0	0	0	0.239229	0	0	0.700071	0	0	0	0	0.084139	0	0	0	0.374088	0.083782	0.290389	0	0	1.831252	0	0.805649	0	0	0	0	0.191353	0	0	0	0	0	0	0	0	0	0	0	0	0	1.616976	0	0	0	0	0	0	0	0	0	0	0	0.055379	0	0.707107	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron	1.038957	0	0.017552	0.267367	0.773835	0.621498	0.219349	0.039346	0.452388	0.042444	0.399118	0.034273	2.321751	1.210341	0.547535	0.605154	0.517374	15.060417	0.085086	0.098184	0.12915	0.862799	0.207545	0	0.101644	0.008106	2.413304	1.599949	0.644891	0.151033	0.670595	3.299149	0.179152	0	0.069163	0	0	0.26959	0	0	0	0	0	0	0.124694	0	0	11.772711	0	0	0.110888	0	0.423798	0	0	0	1.107925	0	0.011611	0	0	2.025119	0	0	0	0	0.011239	4.580274	0.264037	0
