v00017	5/10	87.18	Inoviridae
v00021	6/8	92.90	Inoviridae
v00022	7/9	95.26	Inoviridae
v00026	5/9	93.76	Inoviridae
v00029	7/8	85.29	Inoviridae
v00037	6/9	79.22	Inoviridae
v00040	6/8	92.93	Inoviridae
v00044	9/14	52.24	Inoviridae
v00047	7/8	94.60	Inoviridae
v00051	3/6	46.90	Inoviridae
v00060	3/15	32.13	Inoviridae
v00069	7/11	57.51	Inoviridae
v00076	7/8	78.41	Inoviridae
v00078	3/10	55.90	Inoviridae
v00083	2/10	40.25	Duneviridae
v00084	7/8	88.47	Inoviridae
v00086	6/8	71.42	Inoviridae
v00118	5/10	48.92	Inoviridae
v00138	3/12	48.13	Inoviridae
v00141	5/7	91.84	Inoviridae
v00144	4/15	46.10	Inoviridae
v00147	7/10	61.50	Microviridae
v00152	36/44	94.40	Peduoviridae
v00159	38/44	81.19	Peduoviridae
v00179	31/35	96.60	Peduoviridae
v00181	24/29	93.63	Peduoviridae
v00182	5/8	64.16	Microviridae
v00188	42/50	95.74	Peduoviridae
v00190	18/208	38.16	Herelleviridae
v00192	12/63	39.84	Aliceevansviridae
v00198	13/35	37.58	Winoviridae
v00205	6/10	49.97	Microviridae
v00209	19/48	45.62	Autographiviridae
v00211	11/209	38.01	Herelleviridae
v00212	12/215	42.12	Herelleviridae
v00213	10/119	40.44	Herelleviridae
v00222	50/54	84.03	Aliceevansviridae
v00226	39/46	93.19	Peduoviridae
v00231	5/15	47.50	Aliceevansviridae
v00239	41/46	92.48	Peduoviridae
v00240	13/47	44.04	Autographiviridae
v00251	12/54	41.38	Aliceevansviridae
v00255	44/50	94.49	Peduoviridae
v00256	3/8	99.93	Microviridae
v00257	11/42	46.90	Peduoviridae
v00269	14/197	43.43	Herelleviridae
v00274	17/296	44.73	Herelleviridae
v00278	5/10	65.80	Microviridae
v00283	15/133	37.55	Winoviridae
v00316	8/11	85.36	Microviridae
v00323	31/41	86.92	Peduoviridae
v00333	39/50	68.49	Peduoviridae
v00335	34/40	76.52	Peduoviridae
v00338	37/43	95.04	Peduoviridae
v00341	12/65	38.00	Aliceevansviridae
v00358	3/15	49.23	Aliceevansviridae
v00361	11/55	41.12	Aliceevansviridae
v00374	11/131	41.45	Herelleviridae
v00377	28/201	40.43	Herelleviridae
v00397	19/242	41.21	Herelleviridae
v00400	10/102	40.52	Aliceevansviridae
v00403	11/55	42.98	Drexlerviridae
v00404	13/59	41.01	Aliceevansviridae
v00407	18/22	77.52	Peduoviridae
